Name(s) of Enslaved Person (Transcribe what is listed),Age listed for Enslaved Person,Freed Age,Assumed Gender of Enslaved Person,Page Number,Image Name (A001870XX_XXX),Date (YYYY-MM-DD),"Place (Township, County, etc)",Place(State),"Transcribed - Name of Slaveholder (Last name, First name)","Unabbreviated - Name of Slaveholder (Last name, First name)",Assumed Gender of Slaveholder,"Transcribed - Witnesses (Last name, First name)","Unabbreviated - Witnesses (ex: ""Sealed and delivered in the Presence of..."") (Last name, First name)",Monthly Meeting,"Transcribed - Monthly Meeting Clerk (Last Name, First Name)","Unabbreviated - Clerk (Last name, First name)",Notes,Indexer initials,Checker initials
Scarborough,10,18,female,34-37,A00179697_082,1775-04-08,Accomack County,VA,"Mifflin, Daniel",,male,"Mifflin, Warner; 
Jay Baptist; 
Mifflin, Walker",,Duck Creek,,,"this manumission is included in the Duck Creek meeting because the original enslaver (from VA) did not have a nearby meeting to attend

there are two copies of pgs. 36 and 38

daughter of Binah",WGC,WGC
Sal,? ,18,female,34-37,A00179697_082,1775-04-08,Accomack County,VA,"Mifflin, Daniel",,male,"Mifflin, Warner; 
Jay Baptist; 
Mifflin, Walker",,Duck Creek,,,"this manumission is included in the Duck Creek meeting because the original enslaver (from VA) did not have a nearby meeting to attend

there are two copies of pgs. 36 and 38

daughter of Binah",WGC,WGC
Leah,?,time of manumission,female,34-37,A00179697_082,1775-04-08,Accomack County,VA,"Mifflin, Daniel",,male,"Mifflin, Warner; 
Jay Baptist; 
Mifflin, Walker",,Duck Creek,,,"this manumission is included in the Duck Creek meeting because the original enslaver (from VA) did not have a nearby meeting to attend

there are two copies of pgs. 36 and 38

Leah is the mother of Betty(15), Abram(12), Sabra, Sampson, and Isaac

no age given for Leah but assumed to be >18",WGC,WGC
Betty,15,18,female,34-37,A00179697_082,1775-04-08,Accomack County,VA,"Mifflin, Daniel",,male,"Mifflin, Warner; 
Jay Baptist; 
Mifflin, Walker",,Duck Creek,,,"this manumission is included in the Duck Creek meeting because the original enslaver (from VA) did not have a nearby meeting to attend

there are two copies of pgs. 36 and 38

daughter of Leah(?)",WGC,WGC
Sampson,6,21,male,34-37,A00179697_082,1775-04-08,Accomack County,VA,"Mifflin, Daniel",,male,"Mifflin, Warner; 
Jay Baptist; 
Mifflin, Walker",,Duck Creek,,,"this manumission is included in the Duck Creek meeting because the original enslaver (from VA) did not have a nearby meeting to attend

there are two copies of pgs. 36 and 38",WGC,WGC
Isaac,? ,21,male,34-37,A00179697_082,1775-04-08,Accomack County,VA,"Mifflin, Daniel",,male,"Mifflin, Warner; 
Jay Baptist; 
Mifflin, Walker",,Duck Creek,,,"this manumission is included in the Duck Creek meeting because the original enslaver (from VA) did not have a nearby meeting to attend

there are two copies of pgs. 36 and 38",WGC,WGC
Sabra,9,18,female,34-37,A00179697_082,1775-04-08,Accomack County,VA,"Mifflin, Daniel",,male,"Mifflin, Warner; 
Jay Baptist; 
Mifflin, Walker",,Duck Creek,,,"this manumission is included in the Duck Creek meeting because the original enslaver (from VA) did not have a nearby meeting to attend

there are two copies of pgs. 36 and 38

daughter of Leah(?)",WGC,WGC
Sarah,? ,time of manumission ,female,34-37,A00179697_082,1775-04-08,Accomack County,VA,"Mifflin, Daniel",,male,"Mifflin, Warner; 
Jay Baptist; 
Mifflin, Walker",,Duck Creek,,,"this manumission is included in the Duck Creek meeting because the original enslaver (from VA) did not have a nearby meeting to attend

there are two copies of pgs. 36 and 38

mother of Daniel(?) and Thamar

no age given for Sarah but assumed to be >18",WGC,WGC
Daniel,?,21,male,34-37,A00179697_082,1775-04-08,Accomack County,VA,"Mifflin, Daniel",,male,"Mifflin, Warner; 
Jay Baptist; 
Mifflin, Walker",,Duck Creek,,,"this manumission is included in the Duck Creek meeting because the original enslaver (from VA) did not have a nearby meeting to attend

there are two copies of pgs. 36 and 38

son of Sarah",WGC,WGC
Thamar,?,21,male,34-37,A00179697_082,1775-04-08,Accomack County,VA,"Mifflin, Daniel",,male,"Mifflin, Warner; 
Jay Baptist; 
Mifflin, Walker",,Duck Creek,,,"this manumission is included in the Duck Creek meeting because the original enslaver (from VA) did not have a nearby meeting to attend

there are two copies of pgs. 36 and 38

son of Sarah",WGC,WGC
Nanny,?,time of manumission ,female,37-39,A00179697_085,1775-04-08,Accomack County,VA,"Mifflin, Daniel",,male,"Mifflin, Warner; 
Jay Baptist; 
Mifflin, Walker; 
Mifflin, Ann",,Duck Creek,,,"this manumission is included in the Duck Creek meeting
because the original enslaver (from VA) did not have a 
nearby meeting to attend

there are two copies of pgs. 36 and 37

no specific age listed but described as antient",WGC,WGC
Jude,?,time of manumission ,female,37-39,A00179697_085,1775-04-08,Accomack County,VA,"Mifflin, Daniel",,male,"Mifflin, Warner; 
Jay Baptist; 
Mifflin, Walker; 
Mifflin, Ann",,Duck Creek,,,"this manumission is included in the Duck Creek meeting
because the original enslaver (from VA) did not have a 
nearby meeting to attend

there are two copies of pgs. 36 and 37

no specific age listed but described as antient",WGC,WGC
Hannah,?,time of manumission ,female,37-39,A00179697_085,1775-04-08,Accomack County,VA,"Mifflin, Daniel",,male,"Mifflin, Warner; 
Jay Baptist; 
Mifflin, Walker; 
Mifflin, Ann",,Duck Creek,,,"this manumission is included in the Duck Creek meeting
because the original enslaver (from VA) did not have a 
nearby meeting to attend

there are two copies of pgs. 36 and 37

no specific age listed but described as antient",WGC,WGC
Peter,?,time of manumission ,male,37-39,A00179697_085,1775-04-08,Accomack County,VA,"Mifflin, Daniel",,male,"Mifflin, Warner; 
Jay Baptist; 
Mifflin, Walker; 
Mifflin, Ann",,Duck Creek,,,"this manumission is included in the Duck Creek meeting
because the original enslaver (from VA) did not have a 
nearby meeting to attend

there are two copies of pgs. 36 and 37

no specific age listed but described as antient",WGC,WGC
Will ,?,time of manumission ,male,37-39,A00179697_085,1775-04-08,Accomack County,VA,"Mifflin, Daniel",,male,"Mifflin, Warner; 
Jay Baptist; 
Mifflin, Walker; 
Mifflin, Ann",,Duck Creek,,,"this manumission is included in the Duck Creek meeting
because the original enslaver (from VA) did not have a 
nearby meeting to attend

there are two copies of pgs. 36 and 37

no specific age listed but described as antient",WGC,WGC
Binah,50+,50+,female,37-39,A00179697_085,1775-04-08,Accomack County,VA,"Mifflin, Daniel",,male,"Mifflin, Warner; 
Jay Baptist; 
Mifflin, Walker; 
Mifflin, Ann",,Duck Creek,,,"this manumission is included in the Duck Creek meeting
because the original enslaver (from VA) did not have a 
nearby meeting to attend

there are two copies of pgs. 36 and 37",WGC,WGC
Ben,50+,50+,male,37-39,A00179697_085,1775-04-08,Accomack County,VA,"Mifflin, Daniel",,male,"Mifflin, Warner; 
Jay Baptist; 
Mifflin, Walker; 
Mifflin, Ann",,Duck Creek,,,"this manumission is included in the Duck Creek meeting
because the original enslaver (from VA) did not have a 
nearby meeting to attend

there are two copies of pgs. 36 and 37",WGC,WGC
Jude,50+,50+,Jude,37-39,A00179697_085,1775-04-08,Accomack County,VA,"Mifflin, Daniel",,male,"Mifflin, Warner; 
Jay Baptist; 
Mifflin, Walker; 
Mifflin, Ann",,Duck Creek,,,"this manumission is included in the Duck Creek meeting
because the original enslaver (from VA) did not have a 
nearby meeting to attend

there are two copies of pgs. 36 and 37",WGC,WGC
Esther,50+,50+,female,37-39,A00179697_085,1775-04-08,Accomack County,VA,"Mifflin, Daniel",,male,"Mifflin, Warner; 
Jay Baptist; 
Mifflin, Walker; 
Mifflin, Ann",,Duck Creek,,,"this manumission is included in the Duck Creek meeting
because the original enslaver (from VA) did not have a 
nearby meeting to attend

there are two copies of pgs. 36 and 37",WGC,WGC
James,50+,50+,male,37-39,A00179697_085,1775-04-08,Accomack County,VA,"Mifflin, Daniel",,male,"Mifflin, Warner; 
Jay Baptist; 
Mifflin, Walker; 
Mifflin, Ann",,Duck Creek,,,"this manumission is included in the Duck Creek meeting
because the original enslaver (from VA) did not have a 
nearby meeting to attend

there are two copies of pgs. 36 and 37",WGC,WGC
George,50+,50+,male,37-39,A00179697_085,1775-04-08,Accomack County,VA,"Mifflin, Daniel",,male,"Mifflin, Warner; 
Jay Baptist; 
Mifflin, Walker; 
Mifflin, Ann",,Duck Creek,,,"this manumission is included in the Duck Creek meeting
because the original enslaver (from VA) did not have a 
nearby meeting to attend

there are two copies of pgs. 36 and 37",WGC,WGC
Charity,50+,50+,female,37-39,A00179697_085,1775-04-08,Accomack County,VA,"Mifflin, Daniel",,male,"Mifflin, Warner; 
Jay Baptist; 
Mifflin, Walker; 
Mifflin, Ann",,Duck Creek,,,"this manumission is included in the Duck Creek meeting
because the original enslaver (from VA) did not have a 
nearby meeting to attend

there are two copies of pgs. 36 and 37",WGC,WGC
Barbary,40+,40+,female,37-39,A00179697_085,1775-04-08,Accomack County,VA,"Mifflin, Daniel",,male,"Mifflin, Warner; 
Jay Baptist; 
Mifflin, Walker; 
Mifflin, Ann",,Duck Creek,,,"this manumission is included in the Duck Creek meeting
because the original enslaver (from VA) did not have a 
nearby meeting to attend

there are two copies of pgs. 36 and 37",WGC,WGC
Moll,40+,40+,female,37-39,A00179697_085,1775-04-08,Accomack County,VA,"Mifflin, Daniel",,male,"Mifflin, Warner; 
Jay Baptist; 
Mifflin, Walker; 
Mifflin, Ann",,Duck Creek,,,"this manumission is included in the Duck Creek meeting
because the original enslaver (from VA) did not have a 
nearby meeting to attend

there are two copies of pgs. 36 and 37",WGC,WGC
Sarah,30+,30+,female,37-39,A00179697_085,1775-04-08,Accomack County,VA,"Mifflin, Daniel",,male,"Mifflin, Warner; 
Jay Baptist; 
Mifflin, Walker; 
Mifflin, Ann",,Duck Creek,,,"this manumission is included in the Duck Creek meeting
because the original enslaver (from VA) did not have a 
nearby meeting to attend

there are two copies of pgs. 36 and 37",WGC,WGC
Peggy,30+,30+,female,37-39,A00179697_085,1775-04-08,Accomack County,VA,"Mifflin, Daniel",,male,"Mifflin, Warner; 
Jay Baptist; 
Mifflin, Walker; 
Mifflin, Ann",,Duck Creek,,,"this manumission is included in the Duck Creek meeting
because the original enslaver (from VA) did not have a 
nearby meeting to attend

there are two copies of pgs. 36 and 37",WGC,WGC
James [alias Kent],30+,30+,male,37-39,A00179697_085,1775-04-08,Accomack County,VA,"Mifflin, Daniel",,male,"Mifflin, Warner; 
Jay Baptist; 
Mifflin, Walker; 
Mifflin, Ann",,Duck Creek,,,"this manumission is included in the Duck Creek meeting
because the original enslaver (from VA) did not have a 
nearby meeting to attend

there are two copies of pgs. 36 and 37",WGC,WGC
Ladock,30+,30+,male,37-39,A00179697_085,1775-04-08,Accomack County,VA,"Mifflin, Daniel",,male,"Mifflin, Warner; 
Jay Baptist; 
Mifflin, Walker; 
Mifflin, Ann",,Duck Creek,,,"this manumission is included in the Duck Creek meeting
because the original enslaver (from VA) did not have a 
nearby meeting to attend

there are two copies of pgs. 36 and 37",WGC,WGC
George,30+,30+,male,37-39,A00179697_085,1775-04-08,Accomack County,VA,"Mifflin, Daniel",,male,"Mifflin, Warner; 
Jay Baptist; 
Mifflin, Walker; 
Mifflin, Ann",,Duck Creek,,,"this manumission is included in the Duck Creek meeting
because the original enslaver (from VA) did not have a 
nearby meeting to attend

there are two copies of pgs. 36 and 37",WGC,WGC
Dublin-Leah,29,29,female,37-39,A00179697_085,1775-04-08,Accomack County,VA,"Mifflin, Daniel",,male,"Mifflin, Warner; 
Jay Baptist; 
Mifflin, Walker; 
Mifflin, Ann",,Duck Creek,,,"this manumission is included in the Duck Creek meeting
because the original enslaver (from VA) did not have a 
nearby meeting to attend

there are two copies of pgs. 36 and 37",WGC,WGC
Rachel,30,30,female,37-39,A00179697_085,1775-04-08,Accomack County,VA,"Mifflin, Daniel",,male,"Mifflin, Warner; 
Jay Baptist; 
Mifflin, Walker; 
Mifflin, Ann",,Duck Creek,,,"this manumission is included in the Duck Creek meeting
because the original enslaver (from VA) did not have a 
nearby meeting to attend

there are two copies of pgs. 36 and 37",WGC,WGC
Ned,21+,21+,male,37-39,A00179697_085,1775-04-08,Accomack County,VA,"Mifflin, Daniel",,male,"Mifflin, Warner; 
Jay Baptist; 
Mifflin, Walker; 
Mifflin, Ann",,Duck Creek,,,"this manumission is included in the Duck Creek meeting
because the original enslaver (from VA) did not have a 
nearby meeting to attend

there are two copies of pgs. 36 and 37",WGC,WGC
Joshua,21+,21+,male,37-39,A00179697_085,1775-04-08,Accomack County,VA,"Mifflin, Daniel",,male,"Mifflin, Warner; 
Jay Baptist; 
Mifflin, Walker; 
Mifflin, Ann",,Duck Creek,,,"this manumission is included in the Duck Creek meeting
because the original enslaver (from VA) did not have a 
nearby meeting to attend

there are two copies of pgs. 36 and 37",WGC,WGC
Phebe,21+,21+,female,37-39,A00179697_085,1775-04-08,Accomack County,VA,"Mifflin, Daniel",,male,"Mifflin, Warner; 
Jay Baptist; 
Mifflin, Walker; 
Mifflin, Ann",,Duck Creek,,,"this manumission is included in the Duck Creek meeting
because the original enslaver (from VA) did not have a 
nearby meeting to attend

there are two copies of pgs. 36 and 37",WGC,WGC
Nimrod,<30,<31,male,37-39,A00179697_085,1775-04-08,Accomack County,VA,"Mifflin, Daniel",,male,"Mifflin, Warner; 
Jay Baptist; 
Mifflin, Walker; 
Mifflin, Ann",,Duck Creek,,,"this manumission is included in the Duck Creek meeting
because the original enslaver (from VA) did not have a 
nearby meeting to attend

there are two copies of pgs. 36 and 37",WGC,WGC
Jeoram,37,37,male,37-39,A00179697_085,1775-04-08,Accomack County,VA,"Mifflin, Daniel",,male,"Mifflin, Warner; 
Jay Baptist; 
Mifflin, Walker; 
Mifflin, Ann",,Duck Creek,,,"this manumission is included in the Duck Creek meeting
because the original enslaver (from VA) did not have a 
nearby meeting to attend

there are two copies of pgs. 36 and 37",WGC,WGC
Thamar,35,35,male,37-39,A00179697_085,1775-04-08,Accomack County,VA,"Mifflin, Daniel",,male,"Mifflin, Warner; 
Jay Baptist; 
Mifflin, Walker; 
Mifflin, Ann",,Duck Creek,,,"this manumission is included in the Duck Creek meeting
because the original enslaver (from VA) did not have a 
nearby meeting to attend

there are two copies of pgs. 36 and 37",WGC,WGC
Leah,32+,32+,female,37-39,A00179697_085,1775-04-08,Accomack County,VA,"Mifflin, Daniel",,male,"Mifflin, Warner; 
Jay Baptist; 
Mifflin, Walker; 
Mifflin, Ann",,Duck Creek,,,"this manumission is included in the Duck Creek meeting
because the original enslaver (from VA) did not have a 
nearby meeting to attend

there are two copies of pgs. 36 and 37",WGC,WGC
Patience,30+,30+,female,37-39,A00179697_085,1775-04-08,Accomack County,VA,"Mifflin, Daniel",,male,"Mifflin, Warner; 
Jay Baptist; 
Mifflin, Walker; 
Mifflin, Ann",,Duck Creek,,,"this manumission is included in the Duck Creek meeting
because the original enslaver (from VA) did not have a 
nearby meeting to attend

there are two copies of pgs. 36 and 37",WGC,WGC
Jude,30,30,female,37-39,A00179697_085,1775-04-08,Accomack County,VA,"Mifflin, Daniel",,male,"Mifflin, Warner; 
Jay Baptist; 
Mifflin, Walker; 
Mifflin, Ann",,Duck Creek,,,"this manumission is included in the Duck Creek meeting
because the original enslaver (from VA) did not have a 
nearby meeting to attend

there are two copies of pgs. 36 and 37",WGC,WGC
Sophia,30,30,female,37-39,A00179697_085,1775-04-08,Accomack County,VA,"Mifflin, Daniel",,male,"Mifflin, Warner; 
Jay Baptist; 
Mifflin, Walker; 
Mifflin, Ann",,Duck Creek,,,"this manumission is included in the Duck Creek meeting
because the original enslaver (from VA) did not have a 
nearby meeting to attend

there are two copies of pgs. 36 and 37",WGC,WGC
Gilbert,28,28,female,37-39,A00179697_085,1775-04-08,Accomack County,VA,"Mifflin, Daniel",,male,"Mifflin, Warner; 
Jay Baptist; 
Mifflin, Walker; 
Mifflin, Ann",,Duck Creek,,,"this manumission is included in the Duck Creek meeting
because the original enslaver (from VA) did not have a 
nearby meeting to attend

there are two copies of pgs. 36 and 37",WGC,WGC
Perry,25,25,female,37-39,A00179697_085,1775-04-08,Accomack County,VA,"Mifflin, Daniel",,male,"Mifflin, Warner; 
Jay Baptist; 
Mifflin, Walker; 
Mifflin, Ann",,Duck Creek,,,"this manumission is included in the Duck Creek meeting
because the original enslaver (from VA) did not have a 
nearby meeting to attend

there are two copies of pgs. 36 and 37",WGC,WGC
Lydia,24,24,female,37-39,A00179697_085,1775-04-08,Accomack County,VA,"Mifflin, Daniel",,male,"Mifflin, Warner; 
Jay Baptist; 
Mifflin, Walker; 
Mifflin, Ann",,Duck Creek,,,"this manumission is included in the Duck Creek meeting
because the original enslaver (from VA) did not have a 
nearby meeting to attend

there are two copies of pgs. 36 and 37",WGC,WGC
John,21,21,male,37-39,A00179697_085,1775-04-08,Accomack County,VA,"Mifflin, Daniel",,male,"Mifflin, Warner; 
Jay Baptist; 
Mifflin, Walker; 
Mifflin, Ann",,Duck Creek,,,"this manumission is included in the Duck Creek meeting
because the original enslaver (from VA) did not have a 
nearby meeting to attend

there are two copies of pgs. 36 and 37",WGC,WGC
Isabella,20,20,female,37-39,A00179697_085,1775-04-08,Accomack County,VA,"Mifflin, Daniel",,male,"Mifflin, Warner; 
Jay Baptist; 
Mifflin, Walker; 
Mifflin, Ann",,Duck Creek,,,"this manumission is included in the Duck Creek meeting
because the original enslaver (from VA) did not have a 
nearby meeting to attend

there are two copies of pgs. 36 and 37",WGC,WGC
Sarah,19,19,female,37-39,A00179697_085,1775-04-08,Accomack County,VA,"Mifflin, Daniel",,male,"Mifflin, Warner; 
Jay Baptist; 
Mifflin, Walker; 
Mifflin, Ann",,Duck Creek,,,"this manumission is included in the Duck Creek meeting
because the original enslaver (from VA) did not have a 
nearby meeting to attend

there are two copies of pgs. 36 and 37",WGC,WGC
Frank[alias Frank Allen],<50 ,<50 ,male,39,A00179697_087,1776-01-16,Worchester County,MD,"Mifflin Sen., Daniel; 
Mifflin Jun. Daniel","Mifflin Senior, Daniel;
Mifflin Junior, Daniel",male,"Allen, John; 
Holland, Nehemiah; 
MD Worchester 
County Friends",,Duck Creek,,,,WGC,WGC
James [alias Kent James],<50 ,<50 ,male,39,A00179697_087,1776-01-16,Worchester County,MD,"Mifflin Sen., Daniel; 
Mifflin Jun. Daniel","Mifflin Senior, Daniel;
Mifflin Junior, Daniel",male,"Allen, John; 
Holland, Nehemiah; 
MD Worchester 
County Friends",,Duck Creek,,,,WGC,WGC
Sophia James,<50 ,<50 ,female,39,A00179697_087,1776-01-16,Worchester County,MD,"Mifflin Sen., Daniel; 
Mifflin Jun. Daniel","Mifflin Senior, Daniel;
Mifflin Junior, Daniel",male,"Allen, John; 
Holland, Nehemiah; 
MD Worchester 
County Friends",,Duck Creek,,,,WGC,WGC
Hannah James,<50 ,<50 ,female,39,A00179697_087,1776-01-16,Worchester County,MD,"Mifflin Sen., Daniel; 
Mifflin Jun. Daniel","Mifflin Senior, Daniel;
Mifflin Junior, Daniel",male,"Allen, John; 
Holland, Nehemiah; 
MD Worchester 
County Friends",,Duck Creek,,,,WGC,WGC
Ben James,<50 ,<50 ,male,39,A00179697_087,1776-01-16,Worchester County,MD,"Mifflin Sen., Daniel; 
Mifflin Jun. Daniel","Mifflin Senior, Daniel;
Mifflin Junior, Daniel",male,"Allen, John; 
Holland, Nehemiah; 
MD Worchester 
County Friends",,Duck Creek,,,,WGC,WGC
Rhoda James,<50 ,<50 ,female,39,A00179697_087,1776-01-16,Worchester County,MD,"Mifflin Sen., Daniel; 
Mifflin Jun. Daniel","Mifflin Senior, Daniel;
Mifflin Junior, Daniel",male,"Allen, John; 
Holland, Nehemiah; 
MD Worchester 
County Friends",,Duck Creek,,,,WGC,WGC
Betty James,<50 ,<50 ,female,39,A00179697_087,1776-01-16,Worchester County,MD,"Mifflin Sen., Daniel; 
Mifflin Jun. Daniel","Mifflin Senior, Daniel;
Mifflin Junior, Daniel",male,"Allen, John; 
Holland, Nehemiah; 
MD Worchester 
County Friends",,Duck Creek,,,,WGC,WGC
Fisher James,<50 ,<50 ,male,39,A00179697_087,1776-01-16,Worchester County,MD,"Mifflin Sen., Daniel; 
Mifflin Jun. Daniel","Mifflin Senior, Daniel;
Mifflin Junior, Daniel",male,"Allen, John; 
Holland, Nehemiah; 
MD Worchester 
County Friends",,Duck Creek,,,,WGC,WGC
Ned James,<50 ,<50 ,male,39,A00179697_087,1776-01-16,Worchester County,MD,"Mifflin Sen., Daniel; 
Mifflin Jun. Daniel","Mifflin Senior, Daniel;
Mifflin Junior, Daniel",male,"Allen, John; 
Holland, Nehemiah; 
MD Worchester 
County Friends",,Duck Creek,,,,WGC,WGC
Peggy James,<50 ,<50 ,female,39,A00179697_087,1776-01-16,Worchester County,MD,"Mifflin Sen., Daniel; 
Mifflin Jun. Daniel","Mifflin Senior, Daniel;
Mifflin Junior, Daniel",male,"Allen, John; 
Holland, Nehemiah; 
MD Worchester 
County Friends",,Duck Creek,,,,WGC,WGC
Betty Blake,<50 ,<50 ,female,39,A00179697_087,1776-01-16,Worchester County,MD,"Mifflin Sen., Daniel; 
Mifflin Jun. Daniel","Mifflin Senior, Daniel;
Mifflin Junior, Daniel",male,"Allen, John; 
Holland, Nehemiah; 
MD Worchester 
County Friends",,Duck Creek,,,,WGC,WGC
Sussex Blake,<50 ,<50 ,male,39,A00179697_087,1776-01-16,Worchester County,MD,"Mifflin Sen., Daniel; 
Mifflin Jun. Daniel","Mifflin Senior, Daniel;
Mifflin Junior, Daniel",male,"Allen, John; 
Holland, Nehemiah; 
MD Worchester 
County Friends",,Duck Creek,,,,WGC,WGC
John Blake,<50 ,<50 ,male,39,A00179697_087,1776-01-16,Worchester County,MD,"Mifflin Sen., Daniel; 
Mifflin Jun. Daniel","Mifflin Senior, Daniel;
Mifflin Junior, Daniel",male,"Allen, John; 
Holland, Nehemiah; 
MD Worchester 
County Friends",,Duck Creek,,,,WGC,WGC
Comfort Blake,<50 ,<50 ,female,39,A00179697_087,1776-01-16,Worchester County,MD,"Mifflin Sen., Daniel; 
Mifflin Jun. Daniel","Mifflin Senior, Daniel;
Mifflin Junior, Daniel",male,"Allen, John; 
Holland, Nehemiah; 
MD Worchester 
County Friends",,Duck Creek,,,,WGC,WGC
Mary Blake,<50 ,<50 ,female,39,A00179697_087,1776-01-16,Worchester County,MD,"Mifflin Sen., Daniel; 
Mifflin Jun. Daniel","Mifflin Senior, Daniel;
Mifflin Junior, Daniel",male,"Allen, John; 
Holland, Nehemiah; 
MD Worchester 
County Friends",,Duck Creek,,,,WGC,WGC
Hannah Blake,<50 ,<50 ,female,39,A00179697_087,1776-01-16,Worchester County,MD,"Mifflin Sen., Daniel; 
Mifflin Jun. Daniel","Mifflin Senior, Daniel;
Mifflin Junior, Daniel",male,"Allen, John; 
Holland, Nehemiah; 
MD Worchester 
County Friends",,Duck Creek,,,,WGC,WGC
Margaret,40,40,female,40,A00179697_088,1777-03-22,"Duck Creek Hundred, 
Kent County",DE,"Nock, Joseph",,,"Mifflin, Warner; 
Wilson, William; 
Wilson, Elizabeth",,Duck Creek,,,,WGC,WGC
Dorcas,3,3,female,40,A00179697_088,1777-03-22,"Duck Creek Hundred, 
Kent County",DE,"Nock, Joseph",,,"Mifflin, Warner; 
Wilson, William; 
Wilson, Elizabeth",,Duck Creek,,,,WGC,WGC
Issac,2?,21,male,41,A00179697_089,1777-12-?,"Duck Creek Hundred, 
Kent County",DE,"Nock, Mary",,female,"Congill, John; 
Lamborn, John; 
Rowland, Isaiah; 
Swayme, Mary;
Holliday, Ann",,Duck Creek,,,"issac's age is smudged, possibly 2",WGC,WGC
Hampshire,12,21,male,41,A00179697_089,1777-12-?,"Duck Creek Hundred, 
Kent County",DE,"Nock, Mary",,female,"Congill, John; 
Lamborn, John; 
Rowland, Isaiah; 
Swayme, Mary;
Holliday, Ann",,Duck Creek,,,,WGC,WGC
Latiena,?,18,female,41,A00179697_089,1777-12-?,"Duck Creek Hundred, 
Kent County",DE,"Nock, Mary",,female,"Congill, John; 
Lamborn, John; 
Rowland, Isaiah; 
Swayme, Mary;
Holliday, Ann",,Duck Creek,,,no age given for Latiena,WGC,WGC
Frances,16,16,female,41-42,A00179697_089,1778-01-11,Sussex County,DE,"Rowland, Samuel",,male,"Rowland, Isaiah; 
Wilson, William; 
Lay, Philena; 
Cox, Susanna",,Duck Creek,,,,WGC,WGC
"Jusey,",30,30,male,42-43,A00179697_090,1778-01-11,Sussex County,DE,"Rowland, Samuel; 
Rowland, Hannah",,male; female,"Rowland, Isaiah; 
Mifflin, Warner; 
Turner, Issac; 
Turner, John;
Lay, Philena; 
Cowgill, Elizabeth; 
Turner, Eliz","Turner, Elizabeth",Duck Creek,,,,WGC,WGC
Jacob,7,21,male,42-43,A00179697_090,1778-01-11,Sussex County,DE,"Rowland, Samuel; 
Rowland, Hannah",,male; female,"Rowland, Isaiah; 
Mifflin, Warner; 
Turner, Issac; 
Turner, John;
Lay, Philena; 
Cowgill, Elizabeth; 
Turner, Eliz","Turner, Elizabeth",Duck Creek,,,,WGC,WGC
Peter,2,21,male,42-43,A00179697_090,1778-01-11,Sussex County,DE,"Rowland, Samuel; 
Rowland, Hannah",,male; female,"Rowland, Isaiah; 
Mifflin, Warner; 
Turner, Issac; 
Turner, John;
Lay, Philena; 
Cowgill, Elizabeth; 
Turner, Eliz","Turner, Elizabeth",Duck Creek,,,,WGC,WGC
David,14,21,male,42-43,A00179697_090,1778-01-11,Sussex County,DE,"Rowland, Samuel; 
Rowland, Hannah",,male; female,"Rowland, Isaiah; 
Mifflin, Warner; 
Turner, Issac; 
Turner, John;
Lay, Philena; 
Cowgill, Elizabeth; 
Turner, Eliz","Turner, Elizabeth",Duck Creek,,,,WGC,WGC
Pegg,25,25,female,42-43,A00179697_090,1778-01-11,Sussex County,DE,"Rowland, Samuel; 
Rowland, Hannah",,male; female,"Rowland, Isaiah; 
Mifflin, Warner; 
Turner, Issac; 
Turner, John;
Lay, Philena; 
Cowgill, Elizabeth; 
Turner, Eliz","Turner, Elizabeth",Duck Creek,,,,WGC,WGC
Phillis,17,18,female,42-43,A00179697_090,1778-01-11,Sussex County,DE,"Rowland, Samuel; 
Rowland, Hannah",,male; female,"Rowland, Isaiah; 
Mifflin, Warner; 
Turner, Issac; 
Turner, John;
Lay, Philena; 
Cowgill, Elizabeth; 
Turner, Eliz","Turner, Elizabeth",Duck Creek,,,,WGC,WGC
Cate,11,18,female,42-43,A00179697_090,1778-01-11,Sussex County,DE,"Rowland, Samuel; 
Rowland, Hannah",,male; female,"Rowland, Isaiah; 
Mifflin, Warner; 
Turner, Issac; 
Turner, John;
Lay, Philena; 
Cowgill, Elizabeth; 
Turner, Eliz","Turner, Elizabeth",Duck Creek,,,,WGC,WGC
Robert,21,21,male,43-44,A00179697_091,1778-01-11,Sussex County,DE,"Turner, Issac",,male,"Rowland, Isaiah; 
Mifflin, Warner; 
Turner, John; 
Rowland, Hannah;
Rowland, Samuel",,Duck Creek,,,,WGC,WGC
Lucy,5,18,female,44,A00179697_092,1778-01-11,Sussex County,DE,"Turner, Hannah",,female,"Rowland, Isaiah; 
Rowland, Samuel; 
Mifflin, Warner; 
Cox, Susanna; 
Cowgill, Elizabeth",,Duck Creek,,,,WGC,WGC
Grace,32,32,female,45,A00179697_093,1778-04-27,"Little Creek Hundred, 
Kent County",DE,"Hanson Jun., Samuel","Hanson Junior, Samuel",male,"Tilton, Nehemiah; 
Hanson, Lydia; 
Mifflin, Warner",,Duck Creek,,,"family:
Grace is the mother of Henny, Nanny, Phil, and Charles",WGC,WGC
Henny,10,18,female,45,A00179697_093,1778-04-27,"Little Creek Hundred, 
Kent County",DE,"Hanson Jun., Samuel","Hanson Junior, Samuel",male,"Tilton, Nehemiah; 
Hanson, Lydia; 
Mifflin, Warner",,Duck Creek,,,child of Grace,WGC,WGC
